,short_name,value_eur,wage_eur,preferred_foot,team_position,weak_foot,skill_moves,age,work_rate,team_jersey_number,pace,shooting,passing,dribbling,defending,physic,gk_diving,gk_handling,gk_kicking,gk_reflexes,gk_speed,gk_positioning,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,player_positions,overall,potential
25,E. Hazard,58000000,350000,1,14,4,4,29,2,7.0,88.0,82.0,83.0,92.0,35.0,66.0,10.0,10.0,10.0,10.0,10.0,10.0,77,82,61,85,83,93,83,79,81,91,91,86,92,86,93,82,56,82,63,78,54,41,85,86,87,90,27,22,11,12,6,8,8,"LW, ST",88,88
26,K. Koulibaly,50000000,140000,1,8,3,2,29,6,26.0,75.0,28.0,55.0,68.0,89.0,86.0,10.0,10.0,10.0,10.0,10.0,10.0,30,22,84,74,14,69,28,28,63,74,73,77,52,85,41,55,82,70,94,15,87,87,35,52,33,82,89,87,7,11,7,13,5,CB,88,88
27,N. Kanté,51000000,190000,1,20,3,2,29,6,7.0,77.0,66.0,76.0,81.0,86.0,82.0,10.0,10.0,10.0,10.0,10.0,10.0,68,65,54,85,56,79,49,49,79,80,79,76,82,91,92,71,77,96,72,65,90,91,72,79,54,85,90,85,15,12,10,7,10,"CDM, CM",88,88
28,J. Sancho,69500000,82000,1,24,3,5,20,2,7.0,83.0,74.0,81.0,91.0,37.0,64.0,10.0,10.0,10.0,10.0,10.0,10.0,83,81,38,88,83,92,81,48,68,91,86,81,91,87,90,70,51,77,67,63,44,39,83,87,60,84,41,32,7,11,10,11,13,"RM, LM, CAM",87,93
29,T. Alexander-Arnold,60000000,110000,1,17,4,3,21,2,66.0,80.0,66.0,87.0,80.0,80.0,71.0,10.0,10.0,10.0,10.0,10.0,10.0,93,56,69,85,62,77,88,85,89,87,77,83,74,83,74,80,66,88,62,74,74,82,76,84,55,81,83,79,14,15,14,6,7,RB,87,92
30,Bruno Fernandes,63000000,195000,1,0,4,4,25,0,18.0,77.0,83.0,88.0,85.0,68.0,75.0,10.0,10.0,10.0,10.0,10.0,10.0,87,77,58,88,86,85,86,87,87,88,78,76,79,86,79,89,72,94,67,89,70,74,83,90,91,86,67,55,12,14,15,8,14,"CAM, CM",87,90
31,A. Laporte,56000000,200000,0,8,3,2,26,8,14.0,63.0,50.0,72.0,68.0,88.0,81.0,10.0,10.0,10.0,10.0,10.0,10.0,58,45,86,82,40,63,61,69,80,78,60,65,59,87,60,68,76,72,85,47,81,87,54,65,44,85,89,88,10,11,5,14,5,CB,87,90
32,Fabinho,54500000,155000,1,2,2,3,26,6,3.0,67.0,69.0,79.0,77.0,85.0,83.0,10.0,10.0,10.0,10.0,10.0,10.0,75,63,75,85,47,76,71,53,83,82,66,68,66,84,65,81,75,88,81,70,86,87,70,79,90,84,87,85,13,12,6,8,8,CDM,87,89
33,A. Robertson,53000000,155000,0,7,2,3,26,0,26.0,82.0,62.0,80.0,80.0,81.0,76.0,10.0,10.0,10.0,10.0,10.0,10.0,90,57,67,82,32,80,82,38,76,82,79,85,78,84,74,78,62,95,65,65,85,82,77,79,55,83,84,81,11,8,10,7,14,LB,87,89
34,Bernardo Silva,60000000,230000,0,9,3,4,25,0,20.0,81.0,77.0,83.0,92.0,51.0,67.0,10.0,10.0,10.0,10.0,10.0,10.0,85,79,51,86,70,92,84,67,76,92,85,78,94,85,92,76,51,93,54,76,69,49,85,85,68,87,59,40,9,10,14,12,9,"RW, CAM, CM",87,88
35,G. Chiellini,15500000,94000,0,8,3,2,35,6,3.0,66.0,46.0,58.0,60.0,90.0,79.0,10.0,10.0,10.0,10.0,10.0,10.0,54,33,83,65,45,59,60,31,65,61,60,70,57,82,57,78,87,54,87,49,90,88,28,50,50,84,90,88,3,3,2,4,3,CB,87,87
36,H. Lloris,27000000,125000,0,5,1,1,33,8,1.0,30.0,30.0,30.0,30.0,30.0,30.0,89.0,82.0,68.0,90.0,63.0,84.0,13,10,10,50,11,10,11,10,50,34,65,62,55,85,54,51,74,41,43,14,31,27,10,30,40,65,10,18,89,82,68,84,90,GK,87,87
37,L. Suárez,31500000,280000,1,28,4,3,33,2,9.0,70.0,90.0,82.0,83.0,51.0,83.0,10.0,10.0,10.0,10.0,10.0,10.0,80,92,84,83,90,84,86,82,77,84,72,68,76,92,78,89,69,78,85,88,87,41,91,84,83,85,45,38,27,25,31,33,37,ST,87,87
38,L. Modrić,24500000,260000,1,19,4,4,34,2,10.0,73.0,76.0,89.0,88.0,71.0,66.0,10.0,10.0,10.0,10.0,10.0,10.0,86,72,55,91,76,85,85,78,89,90,76,70,91,88,92,79,68,84,58,82,62,79,78,90,82,92,75,71,13,9,7,14,9,CM,87,87
39,A. Di María,39000000,160000,0,25,2,5,32,2,11.0,83.0,81.0,85.0,88.0,48.0,68.0,10.0,10.0,10.0,10.0,10.0,10.0,88,79,51,83,78,88,89,88,80,87,82,83,94,84,76,83,72,78,60,86,73,42,84,88,73,86,55,52,10,7,11,12,11,"RW, LW",87,87
40,W. Szczęsny,34000000,105000,1,5,3,1,30,8,1.0,30.0,30.0,30.0,30.0,30.0,30.0,86.0,82.0,73.0,88.0,49.0,87.0,12,12,16,32,14,11,16,14,36,22,51,47,55,82,51,55,71,45,65,14,40,15,14,48,18,65,13,12,86,82,73,87,88,GK,87,87
41,P. Aubameyang,45000000,170000,1,14,4,4,31,0,14.0,93.0,86.0,75.0,80.0,38.0,69.0,10.0,10.0,10.0,10.0,10.0,10.0,76,91,75,77,84,80,81,76,64,82,91,94,77,88,68,82,75,80,74,78,43,48,93,77,78,88,29,36,6,9,15,9,9,"ST, LW",87,87
42,Sergio Busquets,38000000,240000,1,28,3,3,31,8,5.0,42.0,62.0,80.0,80.0,83.0,77.0,10.0,10.0,10.0,10.0,10.0,10.0,62,67,68,89,44,81,66,68,83,88,40,43,67,84,50,61,66,81,75,54,81,85,77,84,60,93,83,80,5,8,13,9,13,CDM,87,87
43,C. Immobile,48500000,125000,1,24,4,3,30,2,17.0,84.0,88.0,67.0,83.0,39.0,77.0,10.0,10.0,10.0,10.0,10.0,10.0,55,93,81,80,85,83,70,51,53,84,82,85,75,90,77,86,77,78,77,80,77,40,93,71,88,86,33,32,6,8,15,12,6,ST,87,87
44,K. Navas,27000000,110000,1,5,3,1,33,8,1.0,30.0,30.0,30.0,30.0,30.0,30.0,90.0,81.0,75.0,90.0,53.0,82.0,11,15,11,30,11,16,11,15,37,19,54,53,60,84,61,56,74,39,75,13,32,20,16,68,25,67,14,14,90,81,75,82,90,GK,87,87
45,A. Griezmann,50500000,290000,0,27,3,4,29,8,7.0,79.0,85.0,84.0,88.0,57.0,72.0,10.0,10.0,10.0,10.0,10.0,10.0,83,88,83,84,87,87,86,85,82,89,80,79,91,92,83,81,90,86,63,82,73,49,89,85,86,89,54,49,14,8,14,13,14,"ST, CF, LW",87,87
46,H. Son,52500000,165000,1,12,5,4,27,0,7.0,88.0,86.0,80.0,87.0,43.0,69.0,10.0,10.0,10.0,10.0,10.0,10.0,81,86,68,83,81,88,85,70,70,87,86,90,86,89,78,88,56,87,64,90,62,39,88,83,73,88,34,33,11,13,13,6,10,"LM, CF",87,87
47,Roberto Firmino,52000000,190000,1,3,4,5,28,0,9.0,77.0,80.0,81.0,90.0,61.0,78.0,10.0,10.0,10.0,10.0,10.0,10.0,73,80,75,87,85,90,81,65,76,91,78,77,85,90,86,82,81,88,74,77,75,58,86,86,72,88,64,42,8,11,9,6,10,CF,87,87
48,R. Varane,46500000,220000,1,18,3,2,27,6,5.0,82.0,49.0,64.0,64.0,87.0,82.0,10.0,10.0,10.0,10.0,10.0,10.0,42,46,85,78,42,55,46,52,77,79,79,85,62,86,39,52,81,75,86,53,80,87,52,59,43,83,87,86,11,11,9,5,14,CB,86,88
49,P. Pogba,50000000,190000,1,20,4,5,27,2,6.0,73.0,81.0,86.0,85.0,66.0,85.0,10.0,10.0,10.0,10.0,10.0,10.0,80,75,75,86,84,87,85,82,91,90,66,79,73,81,66,90,82,83,89,82,78,64,81,88,83,87,67,65,5,6,2,4,3,"CM, CDM",86,87
50,M. Verratti,50000000,135000,1,9,4,4,27,6,6.0,64.0,60.0,85.0,90.0,79.0,67.0,10.0,10.0,10.0,10.0,10.0,10.0,75,60,55,90,64,90,78,64,89,90,68,61,91,87,94,56,65,76,53,58,89,85,71,88,64,94,82,83,12,12,15,15,10,"CM, CDM",86,87
51,A. Gómez,34500000,100000,1,11,4,4,32,2,10.0,90.0,79.0,84.0,88.0,39.0,55.0,10.0,10.0,10.0,10.0,10.0,10.0,83,80,38,86,72,87,82,79,77,86,94,86,93,86,94,76,70,73,44,82,56,40,82,87,72,85,30,34,8,11,12,9,6,"CAM, CF, ST",86,86
52,Piqué,21000000,220000,1,18,3,2,33,2,3.0,57.0,61.0,71.0,67.0,86.0,80.0,10.0,10.0,10.0,10.0,10.0,10.0,57,65,84,81,57,63,58,43,81,80,48,64,57,88,35,62,74,69,87,51,79,87,64,72,69,87,86,84,10,11,14,15,8,CB,86,86
53,David Silva,22500000,58000,0,0,2,4,34,2,21.0,64.0,74.0,88.0,88.0,52.0,55.0,10.0,10.0,10.0,10.0,10.0,10.0,84,72,53,92,82,86,82,77,84,91,68,61,85,87,87,72,64,70,46,73,56,50,86,91,75,92,53,29,6,15,7,6,12,"CAM, CM",86,86
54,Y. Sommer,28500000,55000,1,5,4,1,31,8,1.0,30.0,30.0,30.0,30.0,30.0,30.0,80.0,86.0,85.0,85.0,51.0,87.0,13,13,10,40,8,15,12,13,31,25,48,54,55,84,58,64,73,45,68,12,38,21,15,64,24,57,19,12,80,86,85,87,85,GK,86,86
55,M. Hummels,33000000,93000,1,1,3,3,31,0,15.0,58.0,58.0,77.0,72.0,89.0,77.0,10.0,10.0,10.0,10.0,10.0,10.0,65,55,87,82,60,69,66,53,86,81,46,67,63,87,60,71,68,65,86,51,71,91,56,80,68,89,88,86,15,6,10,5,6,CB,86,86
56,J. Henderson,36500000,140000,1,19,3,3,30,0,14.0,65.0,74.0,84.0,79.0,81.0,82.0,10.0,10.0,10.0,10.0,10.0,10.0,82,73,65,86,71,78,80,74,87,84,66,65,69,86,68,77,78,91,78,75,84,85,78,83,64,82,83,77,7,13,7,9,13,"CDM, CM",86,86
57,Jordi Alba,32000000,220000,0,7,3,3,31,2,18.0,88.0,69.0,81.0,83.0,78.0,72.0,10.0,10.0,10.0,10.0,10.0,10.0,85,73,70,84,60,81,80,63,79,84,88,88,90,82,85,64,80,88,61,66,76,81,83,78,59,80,80,82,13,15,13,6,13,LB,86,86
58,T. Müller,42000000,130000,1,0,4,3,30,0,25.0,68.0,82.0,82.0,78.0,56.0,71.0,10.0,10.0,10.0,10.0,10.0,10.0,85,85,81,84,84,75,81,59,78,82,68,68,73,94,71,78,77,86,66,81,62,58,94,85,60,84,57,46,6,7,11,14,14,"CAM, RM, RW",86,86
59,De Gea,31500000,150000,1,5,3,1,29,8,1.0,30.0,30.0,30.0,30.0,30.0,30.0,88.0,81.0,78.0,89.0,58.0,82.0,17,13,21,50,13,18,21,19,47,38,57,58,63,83,43,59,67,43,60,12,38,30,12,61,29,65,21,13,88,81,78,82,89,GK,86,86
60,Carvajal,38000000,230000,1,17,3,3,28,0,2.0,80.0,54.0,78.0,80.0,82.0,80.0,10.0,10.0,10.0,10.0,10.0,10.0,84,51,72,83,49,78,76,47,74,84,79,80,79,84,81,68,77,89,74,47,84,83,75,74,45,82,83,85,13,13,15,9,15,RB,86,86
61,J. Vardy,28000000,160000,1,27,3,3,33,0,9.0,88.0,85.0,66.0,78.0,55.0,75.0,10.0,10.0,10.0,10.0,10.0,10.0,68,92,79,69,82,77,67,57,48,81,90,87,72,90,75,87,79,79,68,65,87,49,92,73,84,87,50,53,15,14,7,15,11,ST,86,86
62,K. Havertz,57000000,105000,0,23,4,4,21,8,29.0,84.0,81.0,79.0,85.0,45.0,67.0,10.0,10.0,10.0,10.0,10.0,10.0,73,85,78,84,80,86,84,53,78,87,78,88,78,85,74,74,75,82,69,78,42,38,84,82,73,84,46,38,6,8,11,10,12,"CAM, RM, CF",85,93
63,G. Donnarumma,41500000,34000,1,5,3,1,21,8,99.0,30.0,30.0,30.0,30.0,30.0,30.0,89.0,81.0,76.0,89.0,50.0,83.0,12,12,12,34,8,28,12,14,24,28,46,54,64,79,38,57,72,34,72,18,30,26,14,50,24,68,14,16,89,81,76,83,89,GK,85,92
64,M. de Ligt,49500000,80000,1,28,4,2,20,6,4.0,72.0,59.0,66.0,69.0,85.0,84.0,10.0,10.0,10.0,10.0,10.0,10.0,52,50,86,75,45,66,48,55,74,76,68,75,56,84,60,82,84,76,88,66,83,83,44,63,40,82,85,82,12,11,11,12,10,CB,85,92
65,M. Rashford,53000000,150000,1,12,4,5,22,2,10.0,91.0,83.0,78.0,86.0,45.0,78.0,10.0,10.0,10.0,10.0,10.0,10.0,77,83,68,81,73,87,82,76,69,85,89,93,86,86,75,90,72,87,76,81,73,42,82,82,81,82,40,33,11,6,15,7,14,"LM, ST",85,91
66,L. Sané,51500000,100000,0,12,3,4,24,2,10.0,93.0,81.0,79.0,86.0,38.0,67.0,10.0,10.0,10.0,10.0,10.0,10.0,83,81,72,81,85,88,83,82,64,85,91,95,84,79,78,87,64,70,69,78,61,34,84,82,71,80,32,35,8,12,9,9,14,LM,85,90
67,F. de Jong,50500000,190000,1,9,3,4,23,6,21.0,80.0,64.0,84.0,87.0,76.0,77.0,10.0,10.0,10.0,10.0,10.0,10.0,75,63,66,90,69,87,84,64,86,88,80,80,83,88,79,68,76,90,74,61,70,82,73,86,45,90,76,77,7,13,10,10,9,CM,85,90
68,Marquinhos,44000000,115000,1,18,3,3,26,6,5.0,72.0,41.0,73.0,70.0,87.0,78.0,10.0,10.0,10.0,10.0,10.0,10.0,68,33,84,82,31,64,55,32,82,79,70,73,69,85,67,61,89,80,75,35,80,86,59,68,47,86,87,87,6,6,12,10,13,"CB, CDM",85,89
69,C. Lenglet,44500000,190000,0,8,4,2,25,6,15.0,74.0,45.0,67.0,65.0,87.0,81.0,10.0,10.0,10.0,10.0,10.0,10.0,55,39,83,78,37,57,59,31,74,76,76,72,61,84,60,58,85,75,83,46,80,87,54,66,49,82,86,81,10,10,9,12,7,CB,85,89
70,S. Milinković-Savić,49000000,94000,1,19,4,4,25,2,21.0,69.0,79.0,80.0,83.0,79.0,85.0,10.0,10.0,10.0,10.0,10.0,10.0,64,80,86,85,74,86,78,75,85,88,66,72,64,83,63,83,85,85,88,80,79,78,79,85,56,84,79,74,7,10,7,16,7,"CM, CDM, CAM",85,89
71,M. Škriniar,44500000,130000,1,8,4,2,25,6,37.0,69.0,41.0,59.0,66.0,87.0,81.0,10.0,10.0,10.0,10.0,10.0,10.0,40,42,82,73,40,67,34,30,69,69,70,68,48,83,51,50,78,73,84,30,86,86,30,57,56,81,87,83,10,13,12,8,12,CB,85,89
72,M. Depay,48500000,115000,1,24,3,5,26,1,11.0,86.0,83.0,81.0,84.0,32.0,80.0,10.0,10.0,10.0,10.0,10.0,10.0,83,83,65,81,74,85,85,86,74,84,85,87,80,82,79,87,76,81,81,83,75,28,84,84,73,78,31,20,8,14,6,12,10,"CF, LW, CAM",85,88
73,T. Werner,49500000,135000,1,27,4,3,24,2,11.0,91.0,85.0,69.0,84.0,35.0,71.0,10.0,10.0,10.0,10.0,10.0,10.0,69,88,78,78,86,84,70,58,55,85,93,89,83,87,76,85,75,83,67,78,63,37,88,65,78,82,20,19,9,9,8,15,9,ST,85,88
74,Rodri,44000000,145000,1,2,4,3,24,6,16.0,65.0,68.0,77.0,77.0,82.0,79.0,10.0,10.0,10.0,10.0,10.0,10.0,63,64,75,85,59,76,65,54,82,82,66,65,68,82,69,74,69,84,79,76,76,83,75,82,46,85,84,78,10,10,7,14,8,"CDM, CM",85,88
75,B. Leno,33500000,105000,1,5,3,1,28,8,1.0,30.0,30.0,30.0,30.0,30.0,30.0,85.0,83.0,80.0,86.0,56.0,84.0,9,9,13,50,10,16,9,8,48,35,55,56,52,81,44,60,73,43,70,14,28,25,7,56,23,66,15,18,85,83,80,84,86,GK,85,87
76,S. Gnabry,47500000,100000,1,23,4,4,24,2,7.0,82.0,83.0,78.0,86.0,43.0,70.0,10.0,10.0,10.0,10.0,10.0,10.0,79,85,42,79,83,87,74,62,74,83,90,76,86,85,88,86,65,78,69,81,63,38,85,83,68,80,44,43,14,10,10,9,7,"RM, LM, RW",85,87
77,Ricardo Pereira,40500000,120000,1,28,4,3,26,0,21.0,83.0,66.0,79.0,82.0,81.0,76.0,10.0,10.0,10.0,10.0,10.0,10.0,82,63,65,83,59,82,78,52,78,82,84,83,79,85,79,74,75,88,69,64,79,81,75,77,61,81,84,83,16,12,15,11,11,RB,85,87
78,R. Lukaku,45000000,165000,0,24,4,3,27,8,9.0,81.0,83.0,76.0,75.0,38.0,84.0,10.0,10.0,10.0,10.0,10.0,10.0,73,86,85,79,77,78,78,66,71,78,77,84,60,86,46,87,71,73,95,74,71,27,86,78,78,83,41,30,8,15,14,7,10,ST,85,86
79,Luis Alberto,44000000,99000,1,9,3,4,27,8,10.0,74.0,76.0,86.0,85.0,58.0,59.0,10.0,10.0,10.0,10.0,10.0,10.0,76,77,49,90,76,86,86,81,89,88,76,72,81,80,74,77,53,75,64,76,29,55,80,88,56,78,68,45,6,8,6,12,11,"CAM, CM, CF",85,86
80,M. Icardi,45000000,135000,1,24,4,3,27,8,9.0,73.0,85.0,65.0,78.0,36.0,68.0,10.0,10.0,10.0,10.0,10.0,10.0,47,90,88,76,85,76,76,48,54,82,74,73,73,86,75,85,93,66,72,71,56,22,92,72,82,83,24,20,13,9,5,7,9,ST,85,86
81,H. Ziyech,44000000,140000,0,28,2,5,27,0,22.0,80.0,76.0,87.0,84.0,50.0,66.0,10.0,10.0,10.0,10.0,10.0,10.0,88,73,53,86,74,83,90,78,89,85,83,77,85,84,78,83,37,80,59,77,73,52,82,89,67,79,56,40,11,7,11,8,14,"CAM, RW",85,86
82,Thiago Silva,11500000,93000,1,28,3,2,35,6,6.0,59.0,54.0,72.0,71.0,86.0,78.0,10.0,10.0,10.0,10.0,10.0,10.0,60,40,81,80,61,67,62,61,80,79,57,61,67,81,66,71,90,71,82,65,76,88,59,70,60,86,86,84,9,12,5,9,10,CB,85,85
83,D. Mertens,24000000,115000,1,27,4,4,33,1,14.0,86.0,82.0,80.0,89.0,35.0,51.0,10.0,10.0,10.0,10.0,10.0,10.0,79,84,40,82,70,88,82,79,74,89,90,82,94,86,92,80,58,70,37,81,59,36,85,83,79,81,40,40,7,10,8,10,4,"CF, ST",85,85
