,short_name,value_eur,wage_eur,preferred_foot,team_position,weak_foot,skill_moves,age,work_rate,team_jersey_number,pace,shooting,passing,dribbling,defending,physic,gk_diving,gk_handling,gk_kicking,gk_reflexes,gk_speed,gk_positioning,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,player_positions,overall,potential
17,Casemiro,59500000,310000,Right,CDM,3,2,28,High/High,14.0,65.0,73.0,76.0,72.0,86.0,91.0,10.0,10.0,10.0,10.0,10.0,10.0,58,64,80,84,63,69,63,74,84,79,60,69,61,87.0,66.0,88.0,87.0,90.0,91.0,81.0,91.0,87.0,72.0,80.0,66.0,84.0,88.0,87.0,13.0,14.0,16.0,12.0,12.0,CDM,89,89
18,Ederson,53500000,195000,Left,GK,3,1,26,Medium/Medium,31.0,30.0,30.0,30.0,30.0,30.0,30.0,86.0,82.0,93.0,88.0,63.0,86.0,20,14,14,57,18,23,15,20,59,40,64,63,60,87.0,48.0,70.0,66.0,41.0,78.0,18.0,38.0,27.0,20.0,70.0,17.0,70.0,15.0,8.0,86.0,82.0,93.0,86.0,88.0,GK,88,91
19,R. Sterling,72500000,270000,Right,LW,3,4,25,High/Medium,7.0,93.0,81.0,79.0,90.0,45.0,67.0,10.0,10.0,10.0,10.0,10.0,10.0,78,85,46,84,67,90,77,63,69,88,96,90,94,90.0,94.0,78.0,57.0,79.0,65.0,79.0,59.0,30.0,92.0,82.0,69.0,80.0,53.0,47.0,15.0,12.0,12.0,15.0,9.0,"LW, RW",88,90
20,J. Kimmich,65000000,145000,Right,RDM,4,3,25,High/Medium,6.0,71.0,72.0,86.0,84.0,81.0,79.0,10.0,10.0,10.0,10.0,10.0,10.0,91,66,72,87,67,83,85,61,86,85,77,66,84,88.0,84.0,78.0,79.0,95.0,67.0,84.0,89.0,82.0,80.0,84.0,44.0,85.0,84.0,79.0,8.0,15.0,7.0,15.0,15.0,"CDM, RB",88,90
21,H. Kane,71000000,220000,Right,ST,4,3,26,High/High,10.0,68.0,91.0,80.0,80.0,47.0,83.0,10.0,10.0,10.0,10.0,10.0,10.0,75,94,85,81,85,80,80,68,83,84,66,69,69,90.0,73.0,91.0,79.0,84.0,84.0,86.0,81.0,35.0,93.0,83.0,90.0,91.0,36.0,38.0,8.0,10.0,11.0,14.0,11.0,ST,88,89
22,P. Dybala,71000000,190000,Left,RS,3,4,26,Medium/Medium,10.0,85.0,85.0,84.0,92.0,43.0,63.0,10.0,10.0,10.0,10.0,10.0,10.0,82,84,64,87,88,91,88,88,75,94,89,82,92,84.0,90.0,82.0,75.0,78.0,60.0,87.0,48.0,42.0,85.0,87.0,86.0,84.0,48.0,40.0,5.0,4.0,4.0,5.0,8.0,"CF, CAM",88,89
23,S. Handanovič,16000000,100000,Right,GK,3,1,35,Medium/Medium,1.0,30.0,30.0,30.0,30.0,30.0,30.0,88.0,85.0,73.0,89.0,53.0,89.0,12,10,10,42,12,18,12,14,40,16,51,55,47,83.0,36.0,55.0,78.0,41.0,71.0,19.0,25.0,22.0,12.0,41.0,23.0,69.0,10.0,13.0,88.0,85.0,73.0,89.0,89.0,GK,88,88
24,T. Kroos,55000000,310000,Right,LCM,5,3,30,Medium/Medium,8.0,54.0,81.0,91.0,81.0,71.0,69.0,10.0,10.0,10.0,10.0,10.0,10.0,88,76,58,93,82,80,86,84,93,89,57,52,63,89.0,71.0,89.0,32.0,75.0,73.0,86.0,60.0,79.0,76.0,90.0,73.0,88.0,73.0,60.0,10.0,11.0,13.0,7.0,10.0,CM,88,88
25,E. Hazard,58000000,350000,Right,LW,4,4,29,High/Medium,7.0,88.0,82.0,83.0,92.0,35.0,66.0,10.0,10.0,10.0,10.0,10.0,10.0,77,82,61,85,83,93,83,79,81,91,91,86,92,86.0,93.0,82.0,56.0,82.0,63.0,78.0,54.0,41.0,85.0,86.0,87.0,90.0,27.0,22.0,11.0,12.0,6.0,8.0,8.0,"LW, ST",88,88
26,K. Koulibaly,50000000,140000,Right,LCB,3,2,29,Medium/High,26.0,75.0,28.0,55.0,68.0,89.0,86.0,10.0,10.0,10.0,10.0,10.0,10.0,30,22,84,74,14,69,28,28,63,74,73,77,52,85.0,41.0,55.0,82.0,70.0,94.0,15.0,87.0,87.0,35.0,52.0,33.0,82.0,89.0,87.0,7.0,11.0,7.0,13.0,5.0,CB,88,88
27,N. Kanté,51000000,190000,Right,RDM,3,2,29,Medium/High,7.0,77.0,66.0,76.0,81.0,86.0,82.0,10.0,10.0,10.0,10.0,10.0,10.0,68,65,54,85,56,79,49,49,79,80,79,76,82,91.0,92.0,71.0,77.0,96.0,72.0,65.0,90.0,91.0,72.0,79.0,54.0,85.0,90.0,85.0,15.0,12.0,10.0,7.0,10.0,"CDM, CM",88,88
28,J. Sancho,69500000,82000,Right,RS,3,5,20,High/Medium,7.0,83.0,74.0,81.0,91.0,37.0,64.0,10.0,10.0,10.0,10.0,10.0,10.0,83,81,38,88,83,92,81,48,68,91,86,81,91,87.0,90.0,70.0,51.0,77.0,67.0,63.0,44.0,39.0,83.0,87.0,60.0,84.0,41.0,32.0,7.0,11.0,10.0,11.0,13.0,"RM, LM, CAM",87,93
29,T. Alexander-Arnold,60000000,110000,Right,RB,4,3,21,High/Medium,66.0,80.0,66.0,87.0,80.0,80.0,71.0,10.0,10.0,10.0,10.0,10.0,10.0,93,56,69,85,62,77,88,85,89,87,77,83,74,83.0,74.0,80.0,66.0,88.0,62.0,74.0,74.0,82.0,76.0,84.0,55.0,81.0,83.0,79.0,14.0,15.0,14.0,6.0,7.0,RB,87,92
30,Bruno Fernandes,63000000,195000,Right,CAM,4,4,25,High/High,18.0,77.0,83.0,88.0,85.0,68.0,75.0,10.0,10.0,10.0,10.0,10.0,10.0,87,77,58,88,86,85,86,87,87,88,78,76,79,86.0,79.0,89.0,72.0,94.0,67.0,89.0,70.0,74.0,83.0,90.0,91.0,86.0,67.0,55.0,12.0,14.0,15.0,8.0,14.0,"CAM, CM",87,90
31,A. Laporte,56000000,200000,Left,LCB,3,2,26,Medium/Medium,14.0,63.0,50.0,72.0,68.0,88.0,81.0,10.0,10.0,10.0,10.0,10.0,10.0,58,45,86,82,40,63,61,69,80,78,60,65,59,87.0,60.0,68.0,76.0,72.0,85.0,47.0,81.0,87.0,54.0,65.0,44.0,85.0,89.0,88.0,10.0,11.0,5.0,14.0,5.0,CB,87,90
32,Fabinho,54500000,155000,Right,CDM,2,3,26,Medium/High,3.0,67.0,69.0,79.0,77.0,85.0,83.0,10.0,10.0,10.0,10.0,10.0,10.0,75,63,75,85,47,76,71,53,83,82,66,68,66,84.0,65.0,81.0,75.0,88.0,81.0,70.0,86.0,87.0,70.0,79.0,90.0,84.0,87.0,85.0,13.0,12.0,6.0,8.0,8.0,CDM,87,89
33,A. Robertson,53000000,155000,Left,LB,2,3,26,High/High,26.0,82.0,62.0,80.0,80.0,81.0,76.0,10.0,10.0,10.0,10.0,10.0,10.0,90,57,67,82,32,80,82,38,76,82,79,85,78,84.0,74.0,78.0,62.0,95.0,65.0,65.0,85.0,82.0,77.0,79.0,55.0,83.0,84.0,81.0,11.0,8.0,10.0,7.0,14.0,LB,87,89
34,Bernardo Silva,60000000,230000,Left,LCM,3,4,25,High/High,20.0,81.0,77.0,83.0,92.0,51.0,67.0,10.0,10.0,10.0,10.0,10.0,10.0,85,79,51,86,70,92,84,67,76,92,85,78,94,85.0,92.0,76.0,51.0,93.0,54.0,76.0,69.0,49.0,85.0,85.0,68.0,87.0,59.0,40.0,9.0,10.0,14.0,12.0,9.0,"RW, CAM, CM",87,88
35,G. Chiellini,15500000,94000,Left,LCB,3,2,35,Medium/High,3.0,66.0,46.0,58.0,60.0,90.0,79.0,10.0,10.0,10.0,10.0,10.0,10.0,54,33,83,65,45,59,60,31,65,61,60,70,57,82.0,57.0,78.0,87.0,54.0,87.0,49.0,90.0,88.0,28.0,50.0,50.0,84.0,90.0,88.0,3.0,3.0,2.0,4.0,3.0,CB,87,87
36,H. Lloris,27000000,125000,Left,GK,1,1,33,Medium/Medium,1.0,30.0,30.0,30.0,30.0,30.0,30.0,89.0,82.0,68.0,90.0,63.0,84.0,13,10,10,50,11,10,11,10,50,34,65,62,55,85.0,54.0,51.0,74.0,41.0,43.0,14.0,31.0,27.0,10.0,30.0,40.0,65.0,10.0,18.0,89.0,82.0,68.0,84.0,90.0,GK,87,87
37,L. Suárez,31500000,280000,Right,SUB,4,3,33,High/Medium,9.0,70.0,90.0,82.0,83.0,51.0,83.0,10.0,10.0,10.0,10.0,10.0,10.0,80,92,84,83,90,84,86,82,77,84,72,68,76,92.0,78.0,89.0,69.0,78.0,85.0,88.0,87.0,41.0,91.0,84.0,83.0,85.0,45.0,38.0,27.0,25.0,31.0,33.0,37.0,ST,87,87
38,L. Modrić,24500000,260000,Right,RCM,4,4,34,High/Medium,10.0,73.0,76.0,89.0,88.0,71.0,66.0,10.0,10.0,10.0,10.0,10.0,10.0,86,72,55,91,76,85,85,78,89,90,76,70,91,88.0,92.0,79.0,68.0,84.0,58.0,82.0,62.0,79.0,78.0,90.0,82.0,92.0,75.0,71.0,13.0,9.0,7.0,14.0,9.0,CM,87,87
39,A. Di María,39000000,160000,Left,RW,2,5,32,High/Medium,11.0,83.0,81.0,85.0,88.0,48.0,68.0,10.0,10.0,10.0,10.0,10.0,10.0,88,79,51,83,78,88,89,88,80,87,82,83,94,84.0,76.0,83.0,72.0,78.0,60.0,86.0,73.0,42.0,84.0,88.0,73.0,86.0,55.0,52.0,10.0,7.0,11.0,12.0,11.0,"RW, LW",87,87
40,W. Szczęsny,34000000,105000,Right,GK,3,1,30,Medium/Medium,1.0,30.0,30.0,30.0,30.0,30.0,30.0,86.0,82.0,73.0,88.0,49.0,87.0,12,12,16,32,14,11,16,14,36,22,51,47,55,82.0,51.0,55.0,71.0,45.0,65.0,14.0,40.0,15.0,14.0,48.0,18.0,65.0,13.0,12.0,86.0,82.0,73.0,87.0,88.0,GK,87,87
41,P. Aubameyang,45000000,170000,Right,LW,4,4,31,High/High,14.0,93.0,86.0,75.0,80.0,38.0,69.0,10.0,10.0,10.0,10.0,10.0,10.0,76,91,75,77,84,80,81,76,64,82,91,94,77,88.0,68.0,82.0,75.0,80.0,74.0,78.0,43.0,48.0,93.0,77.0,78.0,88.0,29.0,36.0,6.0,9.0,15.0,9.0,9.0,"ST, LW",87,87
42,Sergio Busquets,38000000,240000,Right,SUB,3,3,31,Medium/Medium,5.0,42.0,62.0,80.0,80.0,83.0,77.0,10.0,10.0,10.0,10.0,10.0,10.0,62,67,68,89,44,81,66,68,83,88,40,43,67,84.0,50.0,61.0,66.0,81.0,75.0,54.0,81.0,85.0,77.0,84.0,60.0,93.0,83.0,80.0,5.0,8.0,13.0,9.0,13.0,CDM,87,87
43,C. Immobile,48500000,125000,Right,RS,4,3,30,High/Medium,17.0,84.0,88.0,67.0,83.0,39.0,77.0,10.0,10.0,10.0,10.0,10.0,10.0,55,93,81,80,85,83,70,51,53,84,82,85,75,90.0,77.0,86.0,77.0,78.0,77.0,80.0,77.0,40.0,93.0,71.0,88.0,86.0,33.0,32.0,6.0,8.0,15.0,12.0,6.0,ST,87,87
44,K. Navas,27000000,110000,Right,GK,3,1,33,Medium/Medium,1.0,30.0,30.0,30.0,30.0,30.0,30.0,90.0,81.0,75.0,90.0,53.0,82.0,11,15,11,30,11,16,11,15,37,19,54,53,60,84.0,61.0,56.0,74.0,39.0,75.0,13.0,32.0,20.0,16.0,68.0,25.0,67.0,14.0,14.0,90.0,81.0,75.0,82.0,90.0,GK,87,87
45,A. Griezmann,50500000,290000,Left,ST,3,4,29,Medium/Medium,7.0,79.0,85.0,84.0,88.0,57.0,72.0,10.0,10.0,10.0,10.0,10.0,10.0,83,88,83,84,87,87,86,85,82,89,80,79,91,92.0,83.0,81.0,90.0,86.0,63.0,82.0,73.0,49.0,89.0,85.0,86.0,89.0,54.0,49.0,14.0,8.0,14.0,13.0,14.0,"ST, CF, LW",87,87
46,H. Son,52500000,165000,Right,LM,5,4,27,High/High,7.0,88.0,86.0,80.0,87.0,43.0,69.0,10.0,10.0,10.0,10.0,10.0,10.0,81,86,68,83,81,88,85,70,70,87,86,90,86,89.0,78.0,88.0,56.0,87.0,64.0,90.0,62.0,39.0,88.0,83.0,73.0,88.0,34.0,33.0,11.0,13.0,13.0,6.0,10.0,"LM, CF",87,87
47,Roberto Firmino,52000000,190000,Right,CF,4,5,28,High/High,9.0,77.0,80.0,81.0,90.0,61.0,78.0,10.0,10.0,10.0,10.0,10.0,10.0,73,80,75,87,85,90,81,65,76,91,78,77,85,90.0,86.0,82.0,81.0,88.0,74.0,77.0,75.0,58.0,86.0,86.0,72.0,88.0,64.0,42.0,8.0,11.0,9.0,6.0,10.0,CF,87,87
48,R. Varane,46500000,220000,Right,RCB,3,2,27,Medium/High,5.0,82.0,49.0,64.0,64.0,87.0,82.0,10.0,10.0,10.0,10.0,10.0,10.0,42,46,85,78,42,55,46,52,77,79,79,85,62,86.0,39.0,52.0,81.0,75.0,86.0,53.0,80.0,87.0,52.0,59.0,43.0,83.0,87.0,86.0,11.0,11.0,9.0,5.0,14.0,CB,86,88
49,P. Pogba,50000000,190000,Right,RDM,4,5,27,High/Medium,6.0,73.0,81.0,86.0,85.0,66.0,85.0,10.0,10.0,10.0,10.0,10.0,10.0,80,75,75,86,84,87,85,82,91,90,66,79,73,81.0,66.0,90.0,82.0,83.0,89.0,82.0,78.0,64.0,81.0,88.0,83.0,87.0,67.0,65.0,5.0,6.0,2.0,4.0,3.0,"CM, CDM",86,87
50,M. Verratti,50000000,135000,Right,LCM,4,4,27,Medium/High,6.0,64.0,60.0,85.0,90.0,79.0,67.0,10.0,10.0,10.0,10.0,10.0,10.0,75,60,55,90,64,90,78,64,89,90,68,61,91,87.0,94.0,56.0,65.0,76.0,53.0,58.0,89.0,85.0,71.0,88.0,64.0,94.0,82.0,83.0,12.0,12.0,15.0,15.0,10.0,"CM, CDM",86,87
51,A. Gómez,34500000,100000,Right,LF,4,4,32,High/Medium,10.0,90.0,79.0,84.0,88.0,39.0,55.0,10.0,10.0,10.0,10.0,10.0,10.0,83,80,38,86,72,87,82,79,77,86,94,86,93,86.0,94.0,76.0,70.0,73.0,44.0,82.0,56.0,40.0,82.0,87.0,72.0,85.0,30.0,34.0,8.0,11.0,12.0,9.0,6.0,"CAM, CF, ST",86,86
52,Piqué,21000000,220000,Right,RCB,3,2,33,High/Medium,3.0,57.0,61.0,71.0,67.0,86.0,80.0,10.0,10.0,10.0,10.0,10.0,10.0,57,65,84,81,57,63,58,43,81,80,48,64,57,88.0,35.0,62.0,74.0,69.0,87.0,51.0,79.0,87.0,64.0,72.0,69.0,87.0,86.0,84.0,10.0,11.0,14.0,15.0,8.0,CB,86,86
53,David Silva,22500000,58000,Left,CAM,2,4,34,High/Medium,21.0,64.0,74.0,88.0,88.0,52.0,55.0,10.0,10.0,10.0,10.0,10.0,10.0,84,72,53,92,82,86,82,77,84,91,68,61,85,87.0,87.0,72.0,64.0,70.0,46.0,73.0,56.0,50.0,86.0,91.0,75.0,92.0,53.0,29.0,6.0,15.0,7.0,6.0,12.0,"CAM, CM",86,86
54,Y. Sommer,28500000,55000,Right,GK,4,1,31,Medium/Medium,1.0,30.0,30.0,30.0,30.0,30.0,30.0,80.0,86.0,85.0,85.0,51.0,87.0,13,13,10,40,8,15,12,13,31,25,48,54,55,84.0,58.0,64.0,73.0,45.0,68.0,12.0,38.0,21.0,15.0,64.0,24.0,57.0,19.0,12.0,80.0,86.0,85.0,87.0,85.0,GK,86,86
55,M. Hummels,33000000,93000,Right,CB,3,3,31,High/High,15.0,58.0,58.0,77.0,72.0,89.0,77.0,10.0,10.0,10.0,10.0,10.0,10.0,65,55,87,82,60,69,66,53,86,81,46,67,63,87.0,60.0,71.0,68.0,65.0,86.0,51.0,71.0,91.0,56.0,80.0,68.0,89.0,88.0,86.0,15.0,6.0,10.0,5.0,6.0,CB,86,86
56,J. Henderson,36500000,140000,Right,RCM,3,3,30,High/High,14.0,65.0,74.0,84.0,79.0,81.0,82.0,10.0,10.0,10.0,10.0,10.0,10.0,82,73,65,86,71,78,80,74,87,84,66,65,69,86.0,68.0,77.0,78.0,91.0,78.0,75.0,84.0,85.0,78.0,83.0,64.0,82.0,83.0,77.0,7.0,13.0,7.0,9.0,13.0,"CDM, CM",86,86
57,Jordi Alba,32000000,220000,Left,LB,3,3,31,High/Medium,18.0,88.0,69.0,81.0,83.0,78.0,72.0,10.0,10.0,10.0,10.0,10.0,10.0,85,73,70,84,60,81,80,63,79,84,88,88,90,82.0,85.0,64.0,80.0,88.0,61.0,66.0,76.0,81.0,83.0,78.0,59.0,80.0,80.0,82.0,13.0,15.0,13.0,6.0,13.0,LB,86,86
58,T. Müller,42000000,130000,Right,CAM,4,3,30,High/High,25.0,68.0,82.0,82.0,78.0,56.0,71.0,10.0,10.0,10.0,10.0,10.0,10.0,85,85,81,84,84,75,81,59,78,82,68,68,73,94.0,71.0,78.0,77.0,86.0,66.0,81.0,62.0,58.0,94.0,85.0,60.0,84.0,57.0,46.0,6.0,7.0,11.0,14.0,14.0,"CAM, RM, RW",86,86
59,De Gea,31500000,150000,Right,GK,3,1,29,Medium/Medium,1.0,30.0,30.0,30.0,30.0,30.0,30.0,88.0,81.0,78.0,89.0,58.0,82.0,17,13,21,50,13,18,21,19,47,38,57,58,63,83.0,43.0,59.0,67.0,43.0,60.0,12.0,38.0,30.0,12.0,61.0,29.0,65.0,21.0,13.0,88.0,81.0,78.0,82.0,89.0,GK,86,86
60,Carvajal,38000000,230000,Right,RB,3,3,28,High/High,2.0,80.0,54.0,78.0,80.0,82.0,80.0,10.0,10.0,10.0,10.0,10.0,10.0,84,51,72,83,49,78,76,47,74,84,79,80,79,84.0,81.0,68.0,77.0,89.0,74.0,47.0,84.0,83.0,75.0,74.0,45.0,82.0,83.0,85.0,13.0,13.0,15.0,9.0,15.0,RB,86,86
61,J. Vardy,28000000,160000,Right,ST,3,3,33,High/High,9.0,88.0,85.0,66.0,78.0,55.0,75.0,10.0,10.0,10.0,10.0,10.0,10.0,68,92,79,69,82,77,67,57,48,81,90,87,72,90.0,75.0,87.0,79.0,79.0,68.0,65.0,87.0,49.0,92.0,73.0,84.0,87.0,50.0,53.0,15.0,14.0,7.0,15.0,11.0,ST,86,86
62,K. Havertz,57000000,105000,Left,RM,4,4,21,Medium/Medium,29.0,84.0,81.0,79.0,85.0,45.0,67.0,10.0,10.0,10.0,10.0,10.0,10.0,73,85,78,84,80,86,84,53,78,87,78,88,78,85.0,74.0,74.0,75.0,82.0,69.0,78.0,42.0,38.0,84.0,82.0,73.0,84.0,46.0,38.0,6.0,8.0,11.0,10.0,12.0,"CAM, RM, CF",85,93
63,G. Donnarumma,41500000,34000,Right,GK,3,1,21,Medium/Medium,99.0,30.0,30.0,30.0,30.0,30.0,30.0,89.0,81.0,76.0,89.0,50.0,83.0,12,12,12,34,8,28,12,14,24,28,46,54,64,79.0,38.0,57.0,72.0,34.0,72.0,18.0,30.0,26.0,14.0,50.0,24.0,68.0,14.0,16.0,89.0,81.0,76.0,83.0,89.0,GK,85,92
64,M. de Ligt,49500000,80000,Right,SUB,4,2,20,Medium/High,4.0,72.0,59.0,66.0,69.0,85.0,84.0,10.0,10.0,10.0,10.0,10.0,10.0,52,50,86,75,45,66,48,55,74,76,68,75,56,84.0,60.0,82.0,84.0,76.0,88.0,66.0,83.0,83.0,44.0,63.0,40.0,82.0,85.0,82.0,12.0,11.0,11.0,12.0,10.0,CB,85,92
